decimal size category,binary size category,provider,model,parameters (billions)
1,,01-ai,yi-large,34
2,,databricks,dbrx-instruct,132
0,,google,gemma-2-27b-it,27
0,,google,gemma-2b,2
0,,mediatek,breeze-7b-instruct,7
0,,meta,llama-3.1-8b-instruct,8
1,,meta,llama3-70b,70
0,,microsoft,phi-3-mini-128k-instruct,3.8
1,,microsoft,phi-3-medium-4k-instruct,14
1,,mistral,mistral-nemo-12b-instruct,12
2,,mistral,mixtral-8x22b-instruct-v0.1,141
2,,nvidia,nemotron-4-340b-instruct,340
1,,upstage,solar-10.7b-instruct,10.7
