decimal size category,binary size category,provider,model,parameters (billions)
0,1,ai21labs,AI21-Jamba2-3B,3
2,7,ai21labs,AI21-Jamba2-Mini,200
0,2,Alibaba-Apsara,DASD-4B-Thinking,4
NA,NA,cohere,c4ai-command-a-03-2025,111
1,3,google,gemma-3-12b-it,12
0,1,ibm,granite-4.0-h-micro,3
0,1,ibm,granite-4.0-h-small,32
0,0,liquidai,LFM2.5-1.2B-Instruct,1.2
1,6,meta,llama-4-scout-17b-16e-instruct,17
1,4,meta,llama-4-maverick-17b-128e-instruct,17
1,3,microsoft,phi-4,14
1,4,mistralai,Mistral-Small-3.2-24B-Instruct-2506,24
1,4,mistralai,Magistral-Small-2506,24
2,7,nvidia,llama-3_1-nemotron-ultra-253b-v1,235
0,3,nvidia,nemotron-nano-9b-v2,9
1,4,nvidia,Nemotron-3-Nano-30B-A3B-Base-BF16,30
NA,NA,openai,gpt-5.2,NA
NA,NA,openai,gpt-5-nano,NA
2,6,openai,gpt-oss-120b,120
1,6,qwen,qwen2.5-72b-instruct,72
0,3,qwen,qwen3-8b,8
1,3,servicenow,apriel-1.5-15b-thinker,15
0,2,tiiuae,Falcon-H1R-7B,7
